Sample in Buffer,Sample in Window,TRIGGER,mealy_fsm/current_state[4:0],crypt_noncein[127:0],crypt_key[127:0],U_reg_aes/reg_crypt_tagout[127:0],tag2[63:0],crypt_start,extra_padding_ff,ready_tag,u_ascon_top/last_cycle,u_ascon_top/sel_padding,u_ascon_top/sel_xor_signal
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
56,56,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,3bbb963281622671,0,0,0,0,0,0
57,57,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,8457e853c23e9a86,0,0,0,0,0,0
58,58,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,973059aa4755e875,0,0,0,0,0,0
59,59,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,13edc76da16445be,0,0,0,0,0,0
60,60,0,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7166b116beda8309,0,0,0,1,0,0
61,61,0,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,269779325fc8fe57,0,0,0,0,0,0
62,62,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,1e77b338156c2e9a,0,0,0,0,0,0
63,63,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,3ce8d8c7e864a2a5,0,0,0,0,0,0
64,64,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,bc9aa56817ae8095,0,0,0,0,0,0
65,65,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,12436c9ea867a81d,0,0,0,0,0,0
66,66,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,08880bb972848cbf,0,0,0,0,0,0
67,67,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,94cb2625ede5002d,0,0,0,0,0,0
68,68,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,f6ea2a939f8c861f,0,0,0,0,0,0
69,69,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,67d2aea146692007,0,0,0,0,0,0
70,70,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,55364cb18d26b69f,0,0,0,0,0,0
71,71,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,d825df39ce7d88c5,0,0,0,0,0,0
72,72,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,4be19177ef0ce43c,0,0,0,0,0,0
73,73,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,c966804ed7bb218f,0,0,0,0,0,0
74,74,0,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,03649c0a335bfe99,0,0,0,1,0,0
75,75,0,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,e0375be39770e98e,0,0,0,0,0,0
76,76,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,03be8da792a6197d,0,0,0,0,0,0
77,77,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ac87fc3d967d8a7a,0,0,0,0,0,0
78,78,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,3b2b19fbfe2ae436,0,0,0,0,0,0
79,79,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,3d1daa6ce791b98f,0,0,0,0,0,0
80,80,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,149d70a2bb9154f9,0,0,0,0,0,0
81,81,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,591373c982ab574c,0,0,0,0,0,0
82,82,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,3d454bc42e17bf42,0,0,0,0,0,0
83,83,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,c15c132418c74ce2,0,0,0,0,0,0
84,84,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ab7c764798680f2c,0,0,0,0,0,0
85,85,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,2facf7d21634b223,0,0,0,0,0,0
86,86,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,1da7b5d4400bc0d7,0,0,0,0,0,0
87,87,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,2caf98dc59233d1c,0,0,0,0,0,0
88,88,0,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,4cf3b86879619eeb,0,0,0,1,0,0
89,89,0,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,45ce29a5b3934f89,0,0,0,0,0,0
90,90,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,8a1e7cd639de848f,0,0,0,0,0,0
91,91,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,cff17ff85084680d,0,0,0,0,0,0
92,92,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,4ff6c3f4e96503bf,0,0,0,0,0,0
93,93,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,5456dd04dbea8611,0,0,0,0,0,0
94,94,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,11c05d7f1b5eb807,0,0,0,0,0,0
95,95,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,0c5e077ef47e68ff,0,0,0,0,0,0
96,96,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,9cc87e16f3faebbc,0,0,0,0,0,0
97,97,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,530a27f35384f9b1,0,0,0,0,0,0
98,98,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,34952e94c52d01f9,0,0,0,0,0,0
99,99,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,7ddb52b15b43a618,0,0,0,0,0,0
