Sample in Buffer,Sample in Window,TRIGGER,U_reg_aes/reg_crypt_textin_buffer_msg[127:0],crypt_stateout[319:0],crypt_noncein[127:0],U_reg_aes/reg_crypt_textin_buffer_msg_crypt[127:0],u_ascon_top/mealy_fsm/current_state[4:0],crypt_key[127:0],u_ascon_top/ciphertext_valid,u_ascon_top/crypt_start
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
62,62,0,7856341211ccbbaa3412cdab003002f1,8a23c8bd72a118511e06a81d2b5a521f91f86edbaa285aa6bbce06711742578d45e5a3e27749907b,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
63,63,0,7856341211ccbbaa3412cdab003002f1,92288f22f5ca846150781aa074ad69480647e1bb6ea8a16a9aef3819c45d095ee917968f89dd2641,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
64,64,0,7856341211ccbbaa3412cdab003002f1,3a48a23c8bd72a114141e06a81d2b5a544191f86edbaa2851a6bbce067117425cba45e5a3e277499,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
65,65,0,7856341211ccbbaa3412cdab003002f1,2ce92288f22f5ca851050781aa074ad65110647e1bb6ea8a4469aef3819c45d00f2e917968f89dd2,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
66,66,0,7856341211ccbbaa3412cdab003002f1,dcb3a48a23c8bd727544141e06a81d2ba9444191f86edbaa5911a6bbce067117dc3cba45e5a3e277,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
67,67,0,7856341211ccbbaa3412cdab003002f1,4772ce92288f22f575d51050781aa0743ea5110647e1bb6ea164469aef3819c46770f2e917968f89,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
68,68,0,7856341211ccbbaa3412cdab003002f1,f91dcb3a48a23c8b91d7544141e06a8134fa9444191f86ed9285911a6bbce067399dc3cba45e5a3e,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
69,69,0,7856341211ccbbaa3412cdab003002f1,2fe4772ce92288f20a475d51050781aa48d3ea5110647e1be24a164469aef38198e6770f2e917968,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
70,70,0,7856341211ccbbaa3412cdab003002f1,04bf91dcb3a48a238c291d7544141e0651234fa9444191f81b89285911a6bbce5e6399dc3cba45e5,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
71,71,0,7856341211ccbbaa3412cdab003002f1,2012fe4772ce9228d230a475d5105078fd448d3ea51106476c6e24a164469aefd5798e6770f2e917,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
72,72,0,7856341211ccbbaa3412cdab003002f1,64804bf91dcb3a488b48c291d7544141d7f51234fa94441985b1b89285911a6b6755e6399dc3cba4,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,0,0
73,73,0,7856341211ccbbaa3412cdab003002f1,d64804bf91dcb3a438b48c291d7544148d7f51234fa94441885b1b89285911a6b6755e6399dc3cba,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,0,0
74,74,0,7856341211ccbbaa3412cdab003002f1,c02c7aef3c942ec19fb0bd50512697ff4df504f665434370d8d375e327812aa5ac21c3065545a9b8,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
75,75,0,7856341211ccbbaa3412cdab003002f1,2b00b1ebbcf250bb7e7ec2f541449a5f1537d413d9950d0d5b634dd78c9e04aadab0870c195516a6,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
76,76,0,7856341211ccbbaa3412cdab003002f1,40ac02c7aef3c9423df9fb0bd5051269a854df504f665434a56d8d375e3278127f6ac21c3065545a,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
77,77,0,7856341211ccbbaa3412cdab003002f1,e902b00b1ebbcf25a0f7e7ec2f541449a6a1537d413d99509e95b634dd78c9e045fdab0870c19551,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
78,78,0,7856341211ccbbaa3412cdab003002f1,1ba40ac02c7aef3c0a83df9fb0bd5051ee9a854df504f665a27a56d8d375e3277d17f6ac21c30655,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
79,79,0,7856341211ccbbaa3412cdab003002f1,a46e902b00b1ebbc742a0f7e7ec2f5416fba6a1537d413d99e89e95b634dd78c55f45fdab0870c19,000102030405060708090a0b0c0d0e0f,7856341211ccbbaa3412cdab003002f1,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,0,0
